Moisture (14%) ,Foreign Matter (0.5%),Broken (15%),Red & Chalky grains (7%),Damaged Grain (2%),Discolored grain(2%),Mixed ( lower class) (10%) (Other Grain),Final Value,Grade
12.5,0.2,14.6,4.3,0.9,1.6,8.7,8.169,B
11.3,0.3,13.7,5.8,0.4,1.5,8.7,7.57,A
12.2,0.4,14.2,3.9,1.9,1.9,6.8,8.063,B
12.5,0.1,14.6,4.3,0.5,1.5,8.1,8.121,B
12.8,0.1,13.6,4.9,1.9,1.3,7.4,8.289,B
12.9,0.1,13.5,4.9,1.3,1.4,6.2,8.297,B
12.5,0.3,10.2,3.3,1.5,1.7,6.1,7.719,A
12.5,0.2,14.9,3.1,1.4,1.6,7.3,8.145,B
12.7,0.1,14.9,4.9,1.6,1.6,5.6,8.363,B
12.3,0.5,14.6,2.8,1.5,1.9,7.9,8.072,B
12.8,0.4,13.7,3.4,0.7,1.5,6.3,8.19,B
12.7,1.1,14.2,4.5,1.2,1.3,9.6,8.429,B
12.5,0.3,12.3,3.8,1.6,1.9,9.1,7.978,B
12.6,0.1,13.4,4.9,1.3,1.4,9.3,8.137,B
12.3,0.5,13.8,4.5,0.8,1.2,9.3,8.041,B
12.8,0.4,14.7,5.9,0.9,1.6,9.1,8.481,B
12.5,0.4,14.2,2.7,0.3,1.2,8.1,8.005,B
12.7,0.2,13.2,2.8,1.5,0.4,8.1,8.012,B
13,0.1,14.8,3.3,1.6,1.2,8.9,8.375,B
12.8,0.4,14.8,3.9,1.4,0.3,9.6,8.329,B
10.8,0.2,14.6,3.5,1.3,1.6,9.1,7.287,A
12.4,0.3,13.3,5.2,1.8,1.2,9.3,8.11,B
12.5,0.2,13.8,5.8,1,1.8,9.3,8.208,B
11.3,0.3,14.2,5.2,0.9,1.8,9.1,7.62,A
11.5,0.4,10.8,2.8,0.4,1.6,8.1,7.194,A
10.8,0.4,14.2,3.2,0.3,1.3,8.1,7.194,A
10.9,0.4,12.3,4.5,0.9,1.4,8.9,7.185,A
11.2,0.1,12.9,3.4,0.4,1.5,9.1,7.232,A
12.2,0,14.3,3.9,1.6,1.2,9.3,7.947,B
12,0,14.2,3.5,1.6,1.3,9.1,7.813,A
11.7,0,14.9,4.5,1.4,1.1,8.4,7.783,A
12.8,0.2,14.6,3.5,1.5,1.1,7.7,8.279,B
12.1,0.1,13.7,3.2,1.6,1.6,8.4,7.824,A
12.2,0.1,14.2,3.2,0.8,1.5,9.1,7.872,B
11.9,0.3,13.2,3.2,1.2,1.4,9.2,7.682,A
11.8,0.1,13.4,4.9,1.8,1.8,8.9,7.783,A
12.5,0.2,13.8,3.5,1.5,1.9,9.6,8.081,B
12.7,0.1,14.7,3.9,1.3,1.5,7.7,8.251,B
12.2,0.2,14.2,3.6,1.5,1.2,9.1,7.95,B
11.1,0.1,13.2,3.3,1.6,1.6,9.2,7.281,A
11.9,0.2,14.8,3.2,1.4,1.6,8.9,7.842,B
12,0.4,14.8,3.5,1.1,1.2,9.6,7.919,B
12.1,0.2,14.6,3.1,1.6,1.3,9.2,7.915,B
11.1,0.3,13.3,2.8,1.6,1.4,9.1,7.288,A
12.2,0.3,13.8,3.6,1.5,1.5,8.7,7.942,B
12.8,0.4,12.5,3.5,1.9,1.2,8.7,8.137,B
11.8,0.2,10.8,3.6,1.5,1.2,9.2,7.41,A
12.6,0.3,14.2,3.2,1.3,1.6,8.7,8.146,B
11.8,0.3,12.3,3.1,1.4,1.4,8.1,7.547,A
11.7,0.1,12.9,4.3,1.7,1.5,4.6,7.623,A
11.5,0.3,14.3,2.8,1.6,1.3,4.6,7.584,A
11.6,0.2,12.9,3.6,1.6,1.4,9.1,7.534,A
12.5,0.2,14.2,2.5,1.9,1.2,8.7,8.047,B
12.9,0.1,13.5,1.9,1.5,1.6,8.7,8.107,B
12.8,0.1,13.6,2.5,1.3,1.6,6.8,8.097,B
12.2,0.2,12.9,3.2,1.9,1.3,8.1,7.82,A
12.8,0.2,12.4,3.5,1.4,1.2,7.4,8.057,B
11.6,0.1,12.8,5.2,1.2,1.4,6.2,7.592,A
12.5,0.3,10.6,3.2,1.6,1.2,6.1,7.738,A
12.1,0.3,12.6,2.8,1.2,1.5,7.3,7.698,A
13.8,0.3,13.7,4.5,0.4,1.9,5.6,8.745,C
13.9,0.3,13.6,4.2,1.2,1.4,7.9,8.792,C
13.1,0.2,14.6,3.8,0.3,1.5,6.3,8.394,B
13.9,0.2,13.6,5.4,1.6,1.2,9.6,8.872,C
13.5,0.1,13.5,5.7,1.2,1.5,9.1,8.651,B
13.9,0.3,10.2,5.6,1.8,1.4,9.3,8.586,B
13,0.2,11.9,5.2,1.8,1.5,9.3,8.262,B
13.9,0.4,14.9,5.6,1.6,1.6,9.1,9.072,C
13.3,0.2,14.6,5.2,1.3,1.2,8.1,8.64,B
13.9,0.1,13.7,5.1,1.4,1.3,8.1,8.833,C
13.3,0.3,14.2,4.9,1.5,1.2,8.9,8.611,B
13.5,0.1,12.3,5.1,1.2,1.8,9.6,8.501,B
13.1,0.2,13.4,4.8,1.3,1.2,9.1,8.392,B
13.9,0.4,13.8,5.1,1.1,1.7,9.3,8.901,C
13,0.1,14.7,4.3,1.1,1.9,9.3,8.433,B
13.8,0.1,14.2,5.9,1.6,1.2,9.1,8.897,C
13,0.5,13.2,4.1,1.5,1.4,8.1,8.353,B
13.8,0.3,14.8,5.6,1.4,1.5,8.1,8.976,C
13,0.2,14.8,4.8,1.8,1.2,8.9,8.512,B
13.9,0.2,14.6,5.9,1.9,0.9,9.1,9.013,C
12.9,0.1,13.3,4.3,1.5,0.6,9.3,8.215,B
13.9,0.4,13.8,5.7,1.2,1.3,9.1,8.933,C
13,0.4,14.2,4.5,1.6,1.2,8.4,8.459,B
13.8,0.2,10.8,3.8,1.6,1.3,7.7,8.434,B
12.7,0.1,14.2,4.3,1.2,0.9,8.4,8.199,B
13.8,0.2,12.3,4.6,1.3,0.4,9.1,8.586,B
12.8,0.1,12.9,4.1,1.4,1.9,9.2,8.157,B
13.8,0.2,14.3,3.7,1.5,0.5,8.9,8.739,C
13,0.1,14.2,3.8,1.2,1.9,9.6,8.354,B
13.8,0.1,13.7,4.1,1.2,1.3,7.7,8.701,C
12,0.1,13.2,4.3,1.6,1.5,9.1,7.797,A
13,0.2,14.8,3.9,1.4,1.4,9.2,8.433,B
13.1,0.3,14.8,4.3,1.5,1.6,8.9,8.545,B
12.9,0.1,14.6,4.1,1.3,1.5,9.6,8.355,B
13,0.1,13.3,4.3,1.4,0.7,9.2,8.263,B
12.6,0.2,13.8,3.7,1.2,1.2,9.1,8.099,B
13.1,0.1,12.5,5.4,1.6,0.3,8.7,8.306,B
12.5,0.1,10.8,4.2,1.6,0.9,8.7,7.776,A
12.4,0.1,14.2,4.9,1.3,1.2,9.2,8.109,B
11.5,0.1,12.3,4.5,1.2,1.5,8.7,7.447,A
13.2,0.2,12.9,4.6,1.4,1.6,8.1,8.4,B
13.3,0.1,14.3,4.4,1.2,1.6,4.6,8.544,B
13.2,0,13.4,5.3,1.5,1.2,4.6,8.449,B
13.4,0.1,14.2,5.9,1.9,1.3,8.2,8.719,C
13.8,0.2,13.5,5.7,1.4,1.4,7.7,8.829,C
13.1,0.1,13.6,4.3,1.5,1.5,9.1,8.381,B
13.7,0.2,14.2,5.8,1.2,1.2,9.2,8.836,C
13.7,0.1,12.4,3.9,1.5,1.2,8.9,8.521,B
12.8,0.2,12.8,4.3,1.4,1.6,9.6,8.169,B
13.2,0.4,10.6,4.9,1.5,1.4,9.1,8.229,B
13.6,0.2,12.6,4.9,1.6,1.5,8.7,8.599,B
13.2,0.3,13.7,3.3,1.2,1.3,8.7,8.385,B
13.5,0.3,13.6,3.1,1.3,1.4,6.8,8.521,B
